A034020,두산에너빌리티,KOSPI,"26,750",950,3.43%,"27,000","27,000","23,800","10,488,411","265,054,032,100",N
A042660,한화오션,KOSPI,"80,400","1,500",1.90%,"80,300","82,100","79,000","1,827,821","148,122,690,100",N
A272210,한화시스템,KOSPI,"44,150","2,450",5.88%,"41,900","44,200","41,850","2,420,143","103,770,724,550",N
A000660,SK하이닉스,KOSPI,"189,700","3,700",1.99%,"186,000","190,000","184,300","431,376","80,977,616,000",N
A005930,삼성전자,KOSPI,"54,700",400,0.74%,"54,500","55,000","54,400","1,278,311","69,840,893,350",N
A012450,한화에어로스페이스,KOSPI,"836,000","18,000",2.20%,"820,000","844,000","809,000","49,873","41,579,201,500",N
A003490,대한항공,KOSPI,"22,800","1,800",8.57%,"21,300","22,950","21,300","1,726,382","38,577,074,950",N
A196170,알테오젠,KOSDAQ,"352,500","4,000",1.12%,"355,000","357,500","340,000","108,427","37,541,282,500",N
A329180,HD현대중공업,KOSPI,"416,500","8,000",1.96%,"531,000","531,000","404,500","85,387","36,115,884,500",N
A064350,현대로템,KOSPI,"114,800","3,300",2.96%,"112,200","117,000","111,900","286,663","33,060,117,900",N
A347850,디앤디파마텍,KOSDAQ,"75,600",200,0.27%,"73,500","78,400","72,100","391,355","29,866,333,750",N
A083650,비에이치아이,KOSDAQ,"29,300",800,2.81%,"27,450","29,450","25,800","989,576","27,187,830,350",N
A439580,블루엠텍,KOSDAQ,"17,990",440,2.51%,"17,300","18,620","17,140","1,246,668","22,298,204,160",N
A298380,에이비엘바이오,KOSDAQ,"63,700","4,100",6.05%,"67,000","68,000","63,300","327,513","21,274,806,500",N
A042700,한미반도체,KOSPI,"78,600","2,300",3.01%,"76,500","79,000","76,300","268,879","20,962,972,700",N
A010140,삼성중공업,KOSPI,"14,810",200,1.37%,"14,760","14,960","14,650","1,398,684","20,732,974,630",N
A015760,한국전력,KOSPI,"26,450",850,3.32%,"25,550","26,500","25,550","762,768","19,979,665,375",N
A013990,아가방컴퍼니,KOSDAQ,"7,300",100,1.39%,"7,460","7,740","7,200","2,597,822","19,640,502,665",N
A047810,한국항공우주,KOSPI,"87,100","1,800",2.11%,"87,500","88,800","86,100","221,120","19,272,192,400",N
A063170,서울옥션,KOSDAQ,"8,370",340,4.23%,"8,170","8,950","8,030","2,234,415","19,091,905,475",N
A052400,코나아이,KOSDAQ,"38,400","2,250",6.22%,"36,550","39,750","36,550","455,053","17,405,775,425",N
A068270,셀트리온,KOSPI,"158,900","3,500",2.16%,"162,000","162,000","156,600","106,212","16,863,370,100",N
A098460,고영,KOSDAQ,"14,220",170,1.18%,"14,390","14,800","14,220","1,140,889","16,586,196,890",N
A009830,한화솔루션,KOSPI,"30,150",150,0.50%,"30,300","31,000","30,050","536,639","16,371,918,475",N
A052690,한전기술,KOSPI,"62,200","3,800",5.76%,"63,100","65,800","55,900","251,846","15,044,290,450",N
A005490,POSCO홀딩스,KOSPI,"262,500","7,000",2.74%,"256,500","265,500","255,000","56,360","14,781,273,250",N
A003230,삼양식품,KOSPI,"941,000","47,000",4.76%,"990,000","990,000","929,000","14,931","14,233,009,000",N
A079550,LIG넥스원,KOSPI,"336,500","6,500",1.97%,"331,000","347,000","331,000","40,938","13,923,235,000",N
A393890,더블유씨피,KOSDAQ,"9,680",280,2.98%,"9,380","9,930","9,310","1,420,828","13,692,546,300",N
A007660,이수페타시스,KOSPI,"36,600",100,0.27%,"36,900","37,700","36,400","366,994","13,590,670,550",N
A009540,HD한국조선해양,KOSPI,"280,000","2,500",0.90%,"277,500","288,000","276,000","45,829","12,886,101,500",N
A000150,두산,KOSPI,"326,000","7,500",2.25%,"330,000","338,000","322,500","38,226","12,499,609,750",N
A267260,HD현대일렉트릭,KOSPI,"328,500","5,500",1.70%,"325,000","334,500","321,500","37,739","12,376,786,750",N
A161000,애경케미칼,KOSPI,"11,290",60,0.53%,"11,200","11,680","10,970","1,087,556","12,346,660,295",N
A226950,올릭스,KOSDAQ,"48,450","3,550",6.83%,"50,900","52,000","47,800","235,505","11,674,131,325",N
A207940,삼성바이오로직스,KOSPI,"1,052,500","32,500",3%,"1,077,000","1,078,000","1,037,000","10,926","11,485,255,000",N
A002390,한독,KOSPI,"13,670","2,060",17.74%,"11,800","14,850","11,680","816,931","11,451,035,165",N
A087010,펩트론,KOSDAQ,"165,500","4,800",2.82%,"170,300","170,300","162,100","66,033","10,934,237,800",N
A000100,유한양행,KOSPI,"110,400","3,100",2.73%,"112,700","113,500","109,700","95,544","10,627,850,800",N
A437730,삼현,KOSDAQ,"13,790",600,4.55%,"13,190","14,130","13,190","765,180","10,625,806,520",N
A010620,HD현대미포,KOSPI,"171,400",700,0.41%,"173,800","174,200","170,900","60,795","10,482,527,800",N
A005380,현대차,KOSPI,"187,400","2,000",1.06%,"188,100","189,800","187,000","53,464","10,077,257,750",N
A082740,한화엔진,KOSPI,"27,900",150,0.54%,"28,000","28,250","27,600","348,874","9,755,190,800",N
A035420,NAVER,KOSPI,"200,500","3,100",1.57%,"198,000","202,000","197,700","45,830","9,161,500,000",N
A010120,LS ELECTRIC,KOSPI,"211,000",500,0.24%,"211,500","214,000","207,000","42,286","8,913,738,750",N
A476060,온코닉테라퓨틱스,KOSDAQ,"22,900",400,1.78%,"21,750","23,350","20,800","401,851","8,862,277,525",N
A035900,JYP Ent.,KOSDAQ,"69,300","1,500",2.12%,"70,600","71,600","68,700","122,423","8,578,466,650",N
A489790,한화비전,KOSPI,"58,900","1,000",1.67%,"60,200","60,200","58,500","140,802","8,326,309,750",N
A025950,동신건설,KOSDAQ,"44,050",500,1.15%,"45,000","46,200","43,550","184,179","8,290,638,000",N
A017670,SK텔레콤,KOSPI,"53,600",100,0.19%,"53,700","54,000","53,300","154,047","8,272,409,700",N
A062040,산일전기,KOSPI,"58,000",400,0.69%,"58,300","60,200","57,800","140,146","8,262,265,800",N
A028300,HLB,KOSDAQ,"58,100",700,1.22%,"57,400","58,200","56,000","142,864","8,174,363,500",N
A084690,대상홀딩스,KOSPI,"9,560","1,090",10.23%,"7,460","9,900","7,460","831,494","7,705,676,135",N
A141080,리가켐바이오,KOSDAQ,"101,800","6,400",5.91%,"106,500","106,500","99,000","73,907","7,599,524,950",N
A082270,젬백스,KOSDAQ,"37,200","1,700",4.79%,"35,500","37,750","34,200","204,679","7,366,912,325",N
A000720,현대건설,KOSPI,"42,400","1,600",3.92%,"39,550","42,450","39,500","173,631","7,125,948,025",N
A000250,삼천당제약,KOSDAQ,"136,100","5,900",4.15%,"140,700","140,700","132,100","52,080","7,124,380,750",N
A086520,에코프로,KOSDAQ,"49,350",850,1.69%,"49,950","50,700","49,300","141,835","7,061,257,750",N
A352820,하이브,KOSPI,"264,500",0,0%,"260,000","267,500","260,000","25,711","6,795,981,000",N
A247540,에코프로비엠,KOSDAQ,"101,100","3,400",3.25%,"104,400","105,100","101,000","65,726","6,728,379,000",N
A130660,한전산업,KOSPI,"10,920",800,6.83%,"10,800","11,410","10,150","632,513","6,658,883,780",N
A035720,카카오,KOSPI,"38,400",350,0.92%,"38,300","38,450","37,850","169,177","6,456,271,500",N
A348370,엔켐,KOSDAQ,"71,900","6,500",8.29%,"77,100","78,300","71,400","84,769","6,344,014,250",N
A257720,실리콘투,KOSDAQ,"36,600",350,0.95%,"37,000","38,050","36,600","168,464","6,282,241,425",N
A373220,LG에너지솔루션,KOSPI,"321,500","1,000",0.31%,"320,500","324,000","320,000","19,360","6,237,097,500",N
A326030,SK바이오팜,KOSPI,"100,000","7,400",6.89%,"106,600","106,600","99,200","56,911","5,789,360,500",N
A006400,삼성SDI,KOSPI,"172,500","1,100",0.63%,"174,300","176,100","172,100","32,908","5,721,436,300",N
A000270,기아,KOSPI,"88,200","1,200",1.34%,"89,500","89,900","88,000","62,112","5,511,608,250",N
A071970,HD현대마린엔진,KOSPI,"37,950",300,0.80%,"37,800","38,700","37,600","139,957","5,330,475,650",N
A090430,아모레퍼시픽,KOSPI,"123,000","2,600",2.07%,"125,700","127,000","123,000","42,726","5,327,087,450",N
A005690,파미셀,KOSPI,"11,220",380,3.28%,"11,600","11,860","11,110","440,440","5,067,752,315",N
A007390,네이처셀,KOSDAQ,"27,050",650,2.35%,"28,000","28,000","27,000","179,697","4,904,195,450",N
A051910,LG화학,KOSPI,"208,500","1,500",0.71%,"208,500","212,000","208,000","22,850","4,799,076,750",N
A316140,우리금융지주,KOSPI,"18,000",280,1.58%,"17,790","18,040","17,720","265,130","4,752,541,295",N
A277810,레인보우로보틱스,KOSDAQ,"274,000","1,500",0.55%,"272,500","275,000","271,000","17,161","4,689,858,750",N
A310210,보로노이,KOSDAQ,"91,800","6,400",6.52%,"97,500","97,500","90,000","49,601","4,583,760,050",N
A112040,위메이드,KOSDAQ,"24,950","1,300",5.50%,"23,850","25,550","23,300","184,768","4,561,346,750",N
A475960,토모큐브,KOSDAQ,"19,400",20,0.10%,"19,420","19,490","18,550","232,006","4,418,831,700",N
A045660,에이텍,KOSDAQ,"27,000",950,3.65%,"32,800","32,800","26,050","160,767","4,418,195,000",N
A443060,HD현대마린솔루션,KOSPI,"156,300","3,300",2.16%,"154,100","157,600","153,600","26,067","4,064,151,400",N
A103590,일진전기,KOSPI,"26,300",100,0.38%,"26,250","26,850","26,050","147,991","3,922,642,425",N
A278470,에이피알,KOSPI,"74,700","1,500",1.97%,"76,500","77,100","73,300","51,870","3,893,019,900",N
A103140,풍산,KOSPI,"60,200","1,300",2.21%,"60,700","60,700","59,200","63,312","3,803,713,700",N
A086790,하나금융지주,KOSPI,"65,800","1,700",2.65%,"64,200","65,800","63,900","57,143","3,727,576,850",N
A024060,흥구석유,KOSDAQ,"11,650",470,3.88%,"12,330","13,650","11,630","270,607","3,354,873,245",N
A215600,신라젠,KOSDAQ,"3,240",0,0%,"3,240","3,300","3,085","1,037,081","3,314,384,001",N
A018290,브이티,KOSDAQ,"37,050","1,300",3.39%,"38,350","38,450","36,900","88,326","3,312,636,625",N
A030200,KT,KOSPI,"53,400",100,0.19%,"53,500","54,200","53,000","60,278","3,238,713,450",N
A204620,글로벌텍스프리,KOSDAQ,"5,780",220,3.96%,"5,560","5,910","5,560","553,401","3,199,420,940",N
A323410,카카오뱅크,KOSPI,"23,100","1,000",4.52%,"22,700","23,100","22,100","140,658","3,186,327,200",N
A105560,KB금융,KOSPI,"94,100",900,0.97%,"93,200","94,800","92,600","33,944","3,183,265,450",N
A009150,삼성전기,KOSPI,"118,900","1,300",1.11%,"117,400","119,400","117,400","26,442","3,137,845,050",N
A145020,휴젤,KOSDAQ,"360,000","12,000",3.23%,"369,500","371,500","354,000","8,504","3,060,955,000",N
A095700,제넥신,KOSDAQ,"4,780",230,5.05%,"4,960","5,440","4,530","594,573","3,043,321,685",N
A128940,한미약품,KOSPI,"259,000","6,500",2.45%,"262,000","262,000","256,500","11,730","3,031,933,250",N
A259960,크래프톤,KOSPI,"387,000","2,000",0.52%,"385,000","391,000","381,500","7,760","3,007,555,250",N
A466100,클로봇,KOSDAQ,"18,330",140,0.76%,"18,400","18,510","18,130","158,994","2,909,804,615",N
A457550,우진엔텍,KOSDAQ,"17,460","1,130",6.08%,"17,800","17,800","16,650","169,643","2,871,523,390",N
A178320,서진시스템,KOSDAQ,"21,650","1,050",5.10%,"20,800","21,700","20,650","135,436","2,866,937,150",N
A450080,에코프로머티,KOSPI,"54,700",0,0%,"54,700","55,500","53,500","52,060","2,840,342,850",N
A037270,YG PLUS,KOSPI,"5,420",160,2.87%,"5,640","5,640","5,350","518,203","2,816,163,100",N
A003670,포스코퓨처엠,KOSPI,"122,900","2,000",1.60%,"125,000","126,700","122,800","22,260","2,765,371,300",N
A042000,카페24,KOSDAQ,"59,800","2,600",4.17%,"62,400","63,000","59,000","44,906","2,739,121,500",N
A006800,미래에셋증권,KOSPI,"12,210",240,2.01%,"12,100","12,280","11,740","223,679","2,705,318,460",N
A011200,HMM,KOSPI,"18,520",270,1.48%,"18,660","18,660","18,160","146,471","2,692,641,020",N
A328130,루닛,KOSDAQ,"51,800","1,100",2.08%,"52,900","53,300","51,200","50,538","2,641,790,500",N
A047050,포스코인터내셔널,KOSPI,"49,400",600,1.23%,"48,750","49,700","48,500","53,407","2,633,418,250",N
A161580,필옵틱스,KOSDAQ,"31,600",950,3.10%,"30,650","31,650","30,650","83,916","2,620,872,450",N
A008770,호텔신라,KOSPI,"44,700",800,1.82%,"43,550","45,050","43,550","57,633","2,575,299,475",N
A051600,한전KPS,KOSPI,"42,250","1,050",2.42%,"42,400","42,550","41,000","60,080","2,496,459,700",N
A195940,HK이노엔,KOSDAQ,"39,550",600,1.49%,"40,050","40,050","39,350","62,612","2,481,316,500",N
A006260,LS,KOSPI,"128,800","1,800",1.42%,"125,700","131,900","125,700","18,899","2,457,697,550",N
A016360,삼성증권,KOSPI,"53,800","1,200",2.28%,"52,900","53,900","52,500","45,820","2,441,180,100",N
A267250,HD현대,KOSPI,"79,300","1,400",1.80%,"77,900","79,700","77,900","30,687","2,426,093,750",N
A462870,시프트업,KOSPI,"57,200","1,800",3.25%,"56,700","57,700","56,100","41,785","2,380,019,550",N
